브랜드,제품명,가격,제품설명,구매링크
아디다스 ,아디제로 EVO SL,20만9000,"반응성 있는 쿠셔닝, 장거리 달리기에도 충분한 충격 흡수력, 가벼움",https://www.adidas.co.kr/아디제로-evo-sl-/JH6206.html
언더아머,UA 소닉 7,13만 9000,"가벼움, 반응성 있는 쿠셔닝, 빠르게 느껴짐", https://www.underarmour.co.kr/ko-kr/p/신발/ua_소닉_7/3028002.html?dwvar_3028002_color=003&start=0
브룩스,고스트 17,16만 9000,발목 둘레와 발등을 덥는 부분이 푹신하게 패딩 처리 되어 편안함 제공,https://brooksrunning.co.kr/product/남성-고스트-17블랙-wide/526/category/42/display/1/
호카,클리프톤 10,19만 9000,"일상 달리기와 장거리 달리기에 적합한 플러시 쿠셔닝, 부드럽고 편안한 내부, 새로운 통기성 갑피 ",https://brand.naver.com/hoka/products/12167498566
아식스,노바블라스트 5,20만 8450,"지지력이 좋고 쿠션이 잘 된 미드솔, 통기성이 좋은 갑피, 넓은 발에 딱 맞는 핏 ",https://www.asics.com/us/en-us/novablast--5/p/ANA_1011B974-300.html?utm_campaign=1791234&utm_source=TnL5HPStwNw&utm_medium=affiliate&utm_content=1&utm_term=10&ranMID=40996&ranEAID=TnL5HPStwNw&ranSiteID=TnL5HPStwNw-7TNIw6Jc4BnR_EdHqJHCHw&utm_term=Skimlinks.com
푸마,포에버런 나이트로 2,19만 9000,"부드럽지만 안정적인 미드솔, 고성능 아웃솔 고무 ",https://kr.puma.com/kr/ko/pd/포에버런-나이트로-2-%3Cbr%3Eforeverrun-nitro-2/310109.html?dwvar_310109_color=19
호카,본디 9,22만 9000,"부드럽고 쿠션감이 좋은 느낌, 이전 세대보다 더욱 뛰어난 쿠셔닝 ",https://brand.naver.com/hoka/products/11329470709
나이키,베이퍼플라이 4,26만 2600 ,"가장 가벼운 베이퍼플라이 시리즈, 더 넓은 베이스와 더 빠른 속도, 빠른 레이싱을 위한 경쾌한 주행",https://www.nike.com/kr/t/베이퍼플라이-4-남성-로드-레이싱화-lziK4mFO/HF6414-001
써코니,엔돌핀 엘리트 2,33만 9000,"폭발적인 반동, 부드럽고 지지력이 좋은 미드솔 폼 ",https://brand.naver.com/sauconykorea/products/12215206836
아디다스 ,아디제로 아디오스 프로 4,29만 9000,"부드럽고 반응성이 좋은 쿠셔닝, 가벼움, 부드러운 전환을 위한 로커형 밑창, 좋은 견인력 / https://www.adidas.co.kr/아디제로-아디오스-프로-4/JR1267.html",https://www.adidas.co.kr/아디제로-아디오스-프로-4/JR1267.html
브룩스,칼데라 8,18만 9000,"고르지 않은 표면에서도 안정성이 우수함, 지지력 있는 쿠셔닝, 보호용 갑피 ",https://brooksrunning.co.kr/product/남성-칼데라-8블랙-medium/463/category/109/display/1/
룰루레몬,와일드필,23만 3464,"유연한 앞발, 발뒤꿈치 부분의 쿠셔닝이 더해져 충격을 흡수, 4mm 러그",https://shop.lululemon.com/p/shoes/Mens-Wildfeel-Trail-Running-Shoe/_/prod20002239?cid=aff_con&sv1=affiliate&sv_campaign_id=1264447&awc=30347_1754799150_82d469d9acf8d7782115515304b75d2d